months_programming,hours_learning_per_week,num_learning_resources,attended_bootcamp,is_under_employed,is_ethnic_minority,has_degree,is_high_income_country,log_expected_earning,paid_contributor,gender_clean,age_group,age_numeric
18.0,20.0,0.0,0,0,0,0,0,10.633472802314019,1,man,experienced,36.0
20.0,20.0,0.0,0,1,1,0,0,10.633472802314019,1,man,experienced,36.0
48.0,3.0,0.0,1,1,0,1,0,10.633472802314019,1,man,young,30.0
12.0,6.0,0.0,0,0,0,0,0,11.695255355062795,0,man,young,20.0
2.0,56.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,23.0
24.0,25.0,0.0,0,0,1,0,1,11.156264806643742,0,man,young,24.0
84.0,3.0,0.0,0,1,0,1,0,10.633472802314019,1,man,young,26.0
6.0,10.0,0.0,0,0,0,1,1,10.633472802314019,1,man,experienced,53.0
4.0,12.0,0.0,0,0,0,1,1,11.06665398721974,0,man,young,26.0
6.0,20.0,0.0,0,0,0,0,1,10.596659732783579,0,woman,experienced,35.0
12.0,20.0,0.0,1,0,0,0,0,10.819798284210286,0,man,young,27.0
3.0,16.0,0.0,0,1,0,0,1,10.633472802314019,0,man,experienced,47.0
36.0,15.0,0.0,0,0,0,1,0,10.633472802314019,0,woman,experienced,57.0
15.0,15.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,22.0
12.0,20.0,0.0,0,0,1,0,0,10.633472802314019,1,man,young,31.0
24.0,12.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,18.0
10.0,5.0,0.0,0,0,0,0,0,10.596659732783579,0,man,young,20.0
18.0,2.0,0.0,0,0,0,0,1,10.633472802314019,1,man,young,24.0
10.0,10.0,0.0,1,0,1,0,1,10.633472802314019,1,woman,young,27.0
9.0,6.0,0.0,0,1,1,0,1,11.156264806643742,0,man,experienced,37.0
6.0,2.0,0.0,0,1,0,1,1,10.633472802314019,0,man,young,30.0
20.0,70.0,0.0,0,0,0,0,0,11.51293546492023,0,man,young,21.0
18.0,15.0,0.0,0,0,0,0,1,10.633472802314019,0,man,experienced,41.0
12.0,6.0,0.0,0,0,0,1,0,9.99884318585288,0,man,young,33.0
6.0,60.0,0.0,0,0,1,0,1,10.819798284210286,0,man,young,23.0
24.0,5.0,0.0,0,1,0,0,0,10.633472802314019,0,man,experienced,45.0
6.0,15.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,25.0
10.0,7.0,0.0,1,0,0,1,0,10.819798284210286,0,man,young,27.0
10.0,25.0,0.0,0,0,0,1,1,10.819798284210286,0,man,experienced,40.0
48.0,7.0,0.0,0,0,1,1,1,10.633472802314019,1,woman,experienced,35.0
6.0,18.0,0.0,0,0,1,0,0,8.853808274977197,0,man,young,19.0
20.0,70.0,0.0,0,0,1,0,1,10.633472802314019,0,man,young,34.0
8.0,20.0,0.0,0,0,0,1,1,10.633472802314019,0,man,young,30.0
24.0,14.0,0.0,0,0,0,0,0,10.633472802314019,0,man,experienced,41.0
24.0,20.0,0.0,0,1,0,1,1,10.633472802314019,0,man,young,33.0
18.0,30.0,0.0,0,0,0,1,0,10.596659732783579,0,man,young,20.0
30.0,10.0,0.0,0,0,1,1,0,10.633472802314019,1,man,young,23.0
6.0,20.0,0.0,0,1,0,1,0,10.915106645867503,0,man,young,26.0
42.0,8.0,0.0,0,1,1,1,0,10.518700218288165,0,woman,experienced,35.0
96.0,25.0,0.0,0,0,1,0,1,11.695255355062795,0,man,young,30.0
200.0,10.0,0.0,0,0,1,1,1,10.633472802314019,1,man,experienced,35.0
24.0,4.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,26.0
2.0,30.0,0.0,0,0,0,0,1,10.633472802314019,0,man,young,26.0
2.0,10.0,0.0,0,0,0,1,0,9.90353755128617,0,woman,young,23.0
24.0,10.0,0.0,0,0,0,0,1,10.633472802314019,1,man,experienced,38.0
12.0,26.0,0.0,0,0,0,1,1,10.633472802314019,0,woman,experienced,50.0
4.0,7.0,0.0,0,0,0,1,0,10.633472802314019,0,man,young,32.0
9.0,15.0,0.0,0,0,0,0,1,10.633472802314019,0,man,experienced,48.0
12.0,5.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,22.0
1.0,6.0,0.0,0,0,0,1,1,10.633472802314019,0,man,experienced,39.0
2.0,40.0,0.0,1,0,0,0,0,10.633472802314019,0,man,young,19.0
24.0,0.0,0.0,0,1,1,1,0,10.633472802314019,1,man,young,25.0
9.0,10.0,0.0,0,1,0,0,1,11.225256725762893,0,man,experienced,35.0
24.0,20.0,0.0,0,1,0,0,1,11.407576060361786,0,man,experienced,43.0
4.0,20.0,0.0,1,0,1,0,1,4.2626798770413155,0,man,experienced,41.0
12.0,10.0,0.0,0,0,0,0,0,10.633472802314019,0,man,young,17.0
6.0,5.0,0.0,0,1,0,0,1,11.082157933374816,0,woman,young,32.0
8.0,50.0,0.0,1,0,0,0,1,10.633472802314019,1,man,young,21.0
40.0,5.0,0.0,1,1,0,1,0,10.633472802314019,1,man,young,21.0
36.0,10.0,0.0,0,0,0,1,1,10.819798284210286,0,man,young,27.0
9.0,6.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,23.0
10.0,25.0,0.0,0,0,1,0,1,10.633472802314019,1,man,young,32.0
20.0,12.0,0.0,0,0,0,1,1,10.633472802314019,1,man,young,28.0
48.0,10.0,0.0,0,0,0,1,0,10.633472802314019,1,man,young,29.0
14.0,16.0,0.0,0,0,0,1,1,10.633472802314019,1,man,experienced,41.0
3.0,35.0,0.0,0,0,0,1,1,10.819798284210286,0,woman,young,29.0
5.0,1.0,0.0,0,1,0,1,1,10.633472802314019,0,man,experienced,45.0
10.0,30.0,0.0,0,0,1,0,1,10.633472802314019,0,man,young,22.0
6.0,10.0,0.0,1,0,1,0,1,11.51293546492023,0,man,young,27.0
24.0,20.0,0.0,0,1,1,1,1,10.819798284210286,0,woman,experienced,46.0
6.0,35.0,0.0,1,0,0,1,1,11.002116507732017,0,man,experienced,44.0
36.0,40.0,0.0,0,1,1,1,1,10.491301994830229,0,man,young,29.0
1.0,40.0,0.0,1,0,0,0,1,10.633472802314019,0,woman,young,24.0
1.0,50.0,0.0,0,0,0,0,0,10.596659732783579,0,woman,young,25.0
18.0,5.0,0.0,0,0,0,1,1,10.633472802314019,1,woman,young,26.0
