ed_level_enc,is_employed,is_remote,is_student,years_code,years_code_pro,devtype_developer_full_stack,devtype_developer_back_end,devtype_developer_front_end,devtype_developer_mobile,devtype_data_scientist_or_machine_learning_specialist,devtype_devops_specialist,devtype_engineering_manager,devtype_data_engineer,devtype_developer_desktop_or_enterprise_applications,devtype_security_professional,above_median_salary,ConvertedCompYearly,age_group,age_exp_pro,age_exp_total,exp_pro_bracket,exp_total_bracket
2.0,1,0,0,6.0,4.0,1,0,0,0,0,0,0,0,0,0,0,2156.0,young,young_junior,young_mid,junior,mid
6.0,1,0,0,16.0,8.0,0,0,0,0,0,0,0,0,0,0,0,25777.0,young,young_mid,young_senior,mid,senior
6.0,1,0,0,22.0,17.0,0,0,0,0,0,0,0,0,0,0,1,382164.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,1,0,10.0,3.0,1,0,0,0,0,0,0,0,0,0,0,63057.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,44.0,33.0,1,0,0,0,0,0,0,0,0,0,1,85886.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,1,0,12.0,8.0,0,1,0,0,0,0,0,0,0,0,0,54777.0,young,young_mid,young_mid,mid,mid
2.0,1,0,0,4.0,3.0,1,0,0,0,0,0,0,0,0,0,0,52204.0,young,young_junior,young_junior,junior,junior
4.0,1,0,0,7.0,1.0,0,1,0,0,0,0,0,0,0,0,1,70063.0,young,young_junior,young_mid,junior,mid
4.0,1,1,0,36.0,36.0,0,0,0,0,0,0,1,0,0,0,1,179000.0,experienced,experienced_senior,experienced_senior,senior,senior
5.0,1,0,0,19.0,15.0,1,0,0,0,0,0,0,0,0,0,1,135000.0,experienced,experienced_senior,experienced_senior,senior,senior
1.0,1,0,0,12.0,10.0,0,0,0,0,0,0,0,0,0,0,0,58661.0,young,young_mid,young_mid,mid,mid
6.0,1,0,0,12.0,9.0,0,0,0,0,0,0,0,0,0,0,1,112866.0,experienced,experienced_mid,experienced_mid,mid,mid
4.0,1,0,0,14.0,8.0,0,1,0,0,0,0,0,0,0,0,1,86039.0,young,young_mid,young_mid,mid,mid
4.0,1,1,1,10.0,6.0,1,0,0,0,0,0,0,0,0,0,0,53703.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,15.0,12.0,0,0,0,0,0,0,0,1,0,0,1,100000.0,young,young_mid,young_senior,mid,senior
5.0,1,0,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,45860.0,experienced,experienced_junior,experienced_junior,junior,junior
4.0,1,1,0,5.0,4.0,0,1,0,0,0,0,0,0,0,0,0,59391.0,young,young_junior,young_mid,junior,mid
2.0,1,0,1,7.0,0.5,1,0,0,0,0,0,0,0,0,0,0,14178.0,young,young_junior,young_mid,junior,mid
