model,data_gap,dpd,eod,amplification,auc
Logistic Regression,0.07038489040395843,0.02966076470548342,0.041623127830024365,0.421408119183591,0.837592623471908
XGBoost,0.07038489040395843,0.05274841700494247,0.02088462735398263,0.7494281223253534,0.9341853563723908
