,mean_abs_shap
log_expected_earning,2.879622
months_programming,1.0322876
has_degree,0.33244184
is_high_income_country,0.25510508
hours_learning_per_week,0.122134306
attended_bootcamp,0.09648468
is_under_employed,0.054719213
is_ethnic_minority,0.015301093
num_learning_resources,0.0
