model,data_gap,dpd,eod,amplification,auc
Logistic Regression,0.19451574596420296,0.10718578021351251,0.09838017912177222,0.5510390900806508,0.826599657997076
XGBoost,0.19451574596420296,0.09560881548795497,0.057955737234422045,0.49152223909949055,0.8634250626822375
