dataset,key,variant,dropped,n_features,data_gap,point_dpd,dpd_lo,dpd_hi,point_amp,amp_lo,amp_hi,auc,verdict
Stack Overflow 2024,so,full,,16,0.3047512644999285,0.5669907974069541,0.5484771247949124,0.587649617897601,1.860503504314692,1.7997533952653628,1.928292625573162,0.7593067811678655,Amplification verdict SURVIVES the drop.
Stack Overflow 2024,so,drop_years_code_pro,years_code_pro,15,0.3047512644999285,0.5126342989256086,0.49200287629917056,0.5342419671501656,1.682140016989458,1.6144407981114222,1.7530426535678845,0.7469912377077502,Amplification verdict SURVIVES the drop.
freeCodeCamp 2018,fcc,full,,9,0.07292160406392598,0.05177172404446263,0.034939515696998505,0.06859454409354772,0.7099641320165332,0.4791380506006298,0.9406614683455613,0.9340865449751441,Under-amplification verdict SURVIVES the drop.
freeCodeCamp 2018,fcc,drop_log_expected_earning,log_expected_earning,8,0.07292160406392598,0.0443655215005397,0.03095317346538104,0.05805526782196711,0.6084002328479621,0.4244719166322006,0.7961326107821346,0.8538656946630121,Under-amplification verdict SURVIVES the drop.
UCI Adult,adult,full,,18,0.1956438218043957,0.09560881548795497,0.08442311187817238,0.10801062830487414,0.4886881380535304,0.43151432367265913,0.5520778870328196,0.8634250626822375,Under-amplification verdict SURVIVES the drop.
UCI Adult,adult,drop_is_married,is_married,17,0.1956438218043957,0.08603691243295428,0.07522395419480088,0.09839806262348147,0.4397629897007983,0.3844943996520127,0.5029448986071983,0.849705247770854,Under-amplification verdict SURVIVES the drop.
