subgroup,positive_pred_rate,intersectional_max_dpd,worst_pair,single_attr_dpd_ref,compounding_gap,meets_threshold
man_junior,0.04393,0.771009,man_senior vs woman_junior,0.051772,0.719237,False
man_mid,0.453608,0.771009,man_senior vs woman_junior,0.051772,0.719237,False
man_senior,0.806084,0.771009,man_senior vs woman_junior,0.051772,0.719237,False
woman_junior,0.035075,0.771009,man_senior vs woman_junior,0.051772,0.719237,False
woman_mid,0.453608,0.771009,man_senior vs woman_junior,0.051772,0.719237,False
woman_senior,0.740741,0.771009,man_senior vs woman_junior,0.051772,0.719237,False
