dataset,baseline_gender_dpd,baseline_isec_dpd,baseline_auc,reweighed_gender_dpd,reweighed_isec_dpd,reweighed_auc,delta_isec,baseline_meets_threshold,reweighed_meets_threshold
SO,0.5669907974069541,0.9776413601778594,0.7593067811678655,0.12992429393898186,0.3545922345236239,0.6534597975976489,-0.6230491256542355,False,False
FCC,0.05177172404446263,0.7710090233244424,0.9340865449751441,0.011535914000209493,0.07858901369441453,0.9022922029535294,-0.6924200096300279,False,True
Adult,0.09560881548795497,0.17094270296443417,0.8634250626822375,0.09142699122735265,0.15967635636390975,0.8579578717594405,-0.011266346600524418,False,False
