sensitive_def,model,data_gap,model_max_gap,dpd,eod,amplification,auc
S1_age_group,Logistic Regression,0.3050532082467917,0.6305521555827553,0.6305521555827553,0.6029658458028585,2.0670235108807886,0.7500791013312318
S1_age_group,XGBoost,0.3050532082467917,0.5669907974069541,0.5669907974069541,0.5984969469234382,1.8586619652581713,0.7593067811678655
S2_age_exp_pro,Logistic Regression,0.526078659099664,0.9712907468876107,0.9712907468876107,,1.8462842547226734,0.7500791013312318
S2_age_exp_pro,XGBoost,0.526078659099664,0.9770592386855154,0.9770592386855154,,1.8572493294071546,0.7593067811678655
S3_age_exp_total,Logistic Regression,0.5896517450972897,0.9683306494900698,0.9683306494900698,,1.6422077198942102,0.7500791013312318
S3_age_exp_total,XGBoost,0.5896517450972897,0.986580783682233,0.986580783682233,,1.6731584197148328,0.7593067811678655
