subgroup,positive_pred_rate,intersectional_max_dpd,worst_pair,single_attr_dpd_ref,compounding_gap,meets_threshold
experienced_junior,0.04065,0.977059,experienced_senior vs young_junior,0.566991,0.410068,False
experienced_mid,0.8325,0.977059,experienced_senior vs young_junior,0.566991,0.410068,False
experienced_senior,0.992852,0.977059,experienced_senior vs young_junior,0.566991,0.410068,False
young_junior,0.015793,0.977059,experienced_senior vs young_junior,0.566991,0.410068,False
young_mid,0.576731,0.977059,experienced_senior vs young_junior,0.566991,0.410068,False
young_senior,0.90625,0.977059,experienced_senior vs young_junior,0.566991,0.410068,False
