,mean_abs_shap
pro_experience_yrs,0.26779312
oss_experience_yrs,0.18608257
contributor_help_score,0.09528985
find_answers_score,0.08233835
receive_help_score,0.07652496
find_maintainer_score,0.0706011
is_high_income_country,0.03747253
had_negative_exp,0.034953605
had_harassment,0.024632046
