model,data_gap,dpd,eod,amplification,auc
Logistic Regression,0.07038489040395843,0.02966076470548342,0.041623127830024365,0.421408119183591,0.8375924280637395
XGBoost,0.07038489040395843,0.05177172404446263,0.020069465340532458,0.7355516647362619,0.9340865449751441
