dataset,model,sensitive,data_gap,point_dpd,dpd_lo,dpd_hi,point_amp,amp_lo,amp_hi,auc,verdict,n_test,n_boot
Stack Overflow 2024,XGBoost,age_group,0.3047512644999285,0.5669907974069541,0.5484771247949124,0.587649617897601,1.860503504314692,1.7997533952653628,1.928292625573162,0.7593067811678655,amplifies (CI strictly above 1.0),5742,1000
freeCodeCamp 2018,XGBoost,gender_clean,0.07292160406392598,0.05177172404446263,0.034939515696998505,0.06859454409354772,0.7099641320165332,0.4791380506006298,0.9406614683455613,0.9340865449751441,compresses (CI strictly below 1.0),7512,1000
UCI Adult,XGBoost,gender_clean,0.1956438218043957,0.09560881548795497,0.08442311187817238,0.10801062830487414,0.4886881380535304,0.43151432367265913,0.5520778870328196,0.8634250626822375,compresses (CI strictly below 1.0),12211,1000
