model,data_gap,dpd,eod,amplification,auc
Logistic Regression,0.13077699293642786,0.012942122186495179,0.023717208381455204,0.09896329466623531,0.577707726902755
XGBoost,0.13077699293642786,0.024035369774919615,0.06862745098039216,0.1837889758087227,0.5623946362796088
