,dtype,n_unique,null_pct
GENDER,object,3,0.0
PROFESSIONAL.EXPERIENCE,object,5,0.0
CONTRIBUTING.TO.OSS,object,5,0.0
EMPLOYMENT.STATUS,object,2,0.0
FIND.ANSWERS,object,5,0.0
RECEIVE.HELP,object,5,0.0
CONTRIBUTOR.HELP,object,5,0.0
FIND.MAINTAINER,object,5,0.0
NEGATIVE.EXPERIENCES,object,2,0.0
HARASSMENT.RECEIVED,object,2,0.0
LOCATION,object,6,0.0
